label,tweet
0,https://t.co/QVjyUChaGj🔫@clarkarmory • CODE : FOXX•#guns #ammo #tattoo #bullet #gun #girls #2a #girlsandguns… https://t.co/r31P2B086n 
0,The #RustMovie tragedy was fully avoidable. One of the first things I learned in the #Marines is that a #gun IS alw… https://t.co/mGVzjjnpQv 
0,#firearm #gun #guns #firearms #pewpew #gunsdaily #pistol #ar #glock #gunsofinstagram #rifle #tactical #shooting… https://t.co/5CLbR7rtqy 
0,#Alec #Baldwin aimed prop #gun at camera during practice when #fatal Rust incident occurre - Oct 25 @ 10:21 AM ET https://t.co/aitHkqrB3H 
0,#Cincinnati #police city leaders launch neighborhood watch groups in response to #gun #vi - Oct 25 @ 10:20 AM ET https://t.co/v6VJ9cO9yF 
0,Always on me always #gun #GunsNRoses #45 #MiamiBeach https://t.co/RUl1CuQrZB 
0,Actor #AlecBaldwin was drawing a #gun across his body and pointing it at a camera on a film set when it fired lead… https://t.co/alyFZXKZrV 
0,Per @nytimes: #AlecBaldwin was rehearsing a scene that involved pointing a revolver toward the camera when the #gun… https://t.co/xTdKyO4YIj 
0,Lock up the gun criminal and political hack that is @AlecBaldwln____ Karma for the #gun crook! 
0,Multiple mistakes necessary for #gun accident on modern film set: expert https://t.co/SrgSEa1FW2 #GunSafety… https://t.co/5WgIJVatiJ 
0,Back 4 Blood - All Weapons Showcase https://t.co/nyQEHn4Gsn #Back4Blood #gun #weapon #firearm #nra #USCCA… https://t.co/wy6tjBi7KN 
0,@eddiedavis2707 Abysmal CEO nowhere to be seen #gun 
0,The movie #Rust has now been shut down after actor Alec Baldwin fired a prop #gun that killed #cinematographer and… https://t.co/Rvw04yLvNl 
0,#BrianLaundrie #Laundries Any comments on #gun found at #FortDesota #Florida #campgrounds?https://t.co/PALv3CAc8m 
0,OK guys task 1 for Resin ntf project done 😁#ntf #opensea #artwork#art #gun https://t.co/QZg3dW05Br 
0,#Cinematographer #HalynaHutchins #killed by #gun.‘#womencinematographers have historically been kept from genre fil… https://t.co/zCJzcUsMZO 
0,Don't worry #producer #AlecBaldwin has too much #money to actually face consequences of pointing a #gun &amp; pulling… https://t.co/HRUZ6z0HxM 
0,Hochul to extend #gun #violence state of #emergency one more month - Oct 25 @ 7:14 AM ET https://t.co/qxVfLs7TCW 
0,AMMO giveaway!!! You don't want to miss this. #freeAmmo #Ammo #gun #2a https://t.co/URZgpYTbnz 
0,#NEWSUPDATE #AlecBaldwin was 'practicing' with #gun when it went off #warrant says #pakustv #NYC… https://t.co/rIshuKMf5l 
0,Squid Game everywhere #gun https://t.co/Q64xnAkVdY 
0,For #God's sake @alecbaldwin  #AlecBaldwin don't you know that you should #NEVER #EVER point a #gun at any… https://t.co/mznNp7BHSb 
0,Coming up on 7NEWS AM #DCNews #DMV  #DC #MD #VA                    #Rain #tornadoes #gun #prop #shooting #Jan6Riot… https://t.co/x07xecsyf2 
0,#銃撃戦#gun#アクション映画#movie #action  #actionmovies ザ・アウトロー。　中弛みもあるが、frb襲撃や銃撃戦は最高だ。 https://t.co/FFTkXLDEnR 
0,#Kittpber2021 #Squidgame #gun https://t.co/7XhLhO5ALQ 
0,https://t.co/QVjyUChaGj🔫@clarkarmory • CODE : FOXX•#guns #ammo #tattoo #bullet #gun #girls #2a #girlsandguns… https://t.co/r31P2B086n 
0,The #RustMovie tragedy was fully avoidable. One of the first things I learned in the #Marines is that a #gun IS alw… https://t.co/mGVzjjnpQv 
0,#firearm #gun #guns #firearms #pewpew #gunsdaily #pistol #ar #glock #gunsofinstagram #rifle #tactical #shooting… https://t.co/5CLbR7rtqy 
0,#Alec #Baldwin aimed prop #gun at camera during practice when #fatal Rust incident occurre - Oct 25 @ 10:21 AM ET https://t.co/aitHkqrB3H 
0,#Cincinnati #police city leaders launch neighborhood watch groups in response to #gun #vi - Oct 25 @ 10:20 AM ET https://t.co/v6VJ9cO9yF 
0,Always on me always #gun #GunsNRoses #45 #MiamiBeach https://t.co/RUl1CuQrZB 
0,Actor #AlecBaldwin was drawing a #gun across his body and pointing it at a camera on a film set when it fired lead… https://t.co/alyFZXKZrV 
0,Per @nytimes: #AlecBaldwin was rehearsing a scene that involved pointing a revolver toward the camera when the #gun… https://t.co/xTdKyO4YIj 
0,Lock up the gun criminal and political hack that is @AlecBaldwln____ Karma for the #gun crook! 
0,Multiple mistakes necessary for #gun accident on modern film set: expert https://t.co/SrgSEa1FW2 #GunSafety… https://t.co/5WgIJVatiJ 
0,Back 4 Blood - All Weapons Showcase https://t.co/nyQEHn4Gsn #Back4Blood #gun #weapon #firearm #nra #USCCA… https://t.co/wy6tjBi7KN 
0,@eddiedavis2707 Abysmal CEO nowhere to be seen #gun 
0,The movie #Rust has now been shut down after actor Alec Baldwin fired a prop #gun that killed #cinematographer and… https://t.co/Rvw04yLvNl 
0,#BrianLaundrie #Laundries Any comments on #gun found at #FortDesota #Florida #campgrounds?https://t.co/PALv3CAc8m 
0,OK guys task 1 for Resin ntf project done 😁#ntf #opensea #artwork#art #gun https://t.co/QZg3dW05Br 
0,#Cinematographer #HalynaHutchins #killed by #gun.‘#womencinematographers have historically been kept from genre fil… https://t.co/zCJzcUsMZO 
0,Don't worry #producer #AlecBaldwin has too much #money to actually face consequences of pointing a #gun &amp; pulling… https://t.co/HRUZ6z0HxM 
0,Hochul to extend #gun #violence state of #emergency one more month - Oct 25 @ 7:14 AM ET https://t.co/qxVfLs7TCW 
0,AMMO giveaway!!! You don't want to miss this. #freeAmmo #Ammo #gun #2a https://t.co/URZgpYTbnz 
0,#NEWSUPDATE #AlecBaldwin was 'practicing' with #gun when it went off #warrant says #pakustv #NYC… https://t.co/rIshuKMf5l 
0,Squid Game everywhere #gun https://t.co/Q64xnAkVdY 
0,For #God's sake @alecbaldwin  #AlecBaldwin don't you know that you should #NEVER #EVER point a #gun at any… https://t.co/mznNp7BHSb 
0,Coming up on 7NEWS AM #DCNews #DMV  #DC #MD #VA                    #Rain #tornadoes #gun #prop #shooting #Jan6Riot… https://t.co/x07xecsyf2 
0,#銃撃戦#gun#アクション映画#movie #action  #actionmovies ザ・アウトロー。　中弛みもあるが、frb襲撃や銃撃戦は最高だ。 https://t.co/FFTkXLDEnR 
0,#Kittpber2021 #Squidgame #gun https://t.co/7XhLhO5ALQ 
0,https://t.co/QVjyUChaGj🔫@clarkarmory • CODE : FOXX•#guns #ammo #tattoo #bullet #gun #girls #2a #girlsandguns… https://t.co/r31P2B086n 
0,The #RustMovie tragedy was fully avoidable. One of the first things I learned in the #Marines is that a #gun IS alw… https://t.co/mGVzjjnpQv 
0,#firearm #gun #guns #firearms #pewpew #gunsdaily #pistol #ar #glock #gunsofinstagram #rifle #tactical #shooting… https://t.co/5CLbR7rtqy 
0,#Alec #Baldwin aimed prop #gun at camera during practice when #fatal Rust incident occurre - Oct 25 @ 10:21 AM ET https://t.co/aitHkqrB3H 
0,#Cincinnati #police city leaders launch neighborhood watch groups in response to #gun #vi - Oct 25 @ 10:20 AM ET https://t.co/v6VJ9cO9yF 
0,Always on me always #gun #GunsNRoses #45 #MiamiBeach https://t.co/RUl1CuQrZB 
0,Actor #AlecBaldwin was drawing a #gun across his body and pointing it at a camera on a film set when it fired lead… https://t.co/alyFZXKZrV 
0,Per @nytimes: #AlecBaldwin was rehearsing a scene that involved pointing a revolver toward the camera when the #gun… https://t.co/xTdKyO4YIj 
0,Lock up the gun criminal and political hack that is @AlecBaldwln____ Karma for the #gun crook! 
0,Multiple mistakes necessary for #gun accident on modern film set: expert https://t.co/SrgSEa1FW2 #GunSafety… https://t.co/5WgIJVatiJ 
0,Back 4 Blood - All Weapons Showcase https://t.co/nyQEHn4Gsn #Back4Blood #gun #weapon #firearm #nra #USCCA… https://t.co/wy6tjBi7KN 
0,@eddiedavis2707 Abysmal CEO nowhere to be seen #gun 
0,The movie #Rust has now been shut down after actor Alec Baldwin fired a prop #gun that killed #cinematographer and… https://t.co/Rvw04yLvNl 
0,#BrianLaundrie #Laundries Any comments on #gun found at #FortDesota #Florida #campgrounds?https://t.co/PALv3CAc8m 
0,OK guys task 1 for Resin ntf project done 😁#ntf #opensea #artwork#art #gun https://t.co/QZg3dW05Br 
0,#Cinematographer #HalynaHutchins #killed by #gun.‘#womencinematographers have historically been kept from genre fil… https://t.co/zCJzcUsMZO 
0,Don't worry #producer #AlecBaldwin has too much #money to actually face consequences of pointing a #gun &amp; pulling… https://t.co/HRUZ6z0HxM 
0,Hochul to extend #gun #violence state of #emergency one more month - Oct 25 @ 7:14 AM ET https://t.co/qxVfLs7TCW 
0,AMMO giveaway!!! You don't want to miss this. #freeAmmo #Ammo #gun #2a https://t.co/URZgpYTbnz 
0,#NEWSUPDATE #AlecBaldwin was 'practicing' with #gun when it went off #warrant says #pakustv #NYC… https://t.co/rIshuKMf5l 
0,Squid Game everywhere #gun https://t.co/Q64xnAkVdY 
0,For #God's sake @alecbaldwin  #AlecBaldwin don't you know that you should #NEVER #EVER point a #gun at any… https://t.co/mznNp7BHSb 
0,Coming up on 7NEWS AM #DCNews #DMV  #DC #MD #VA                    #Rain #tornadoes #gun #prop #shooting #Jan6Riot… https://t.co/x07xecsyf2 
0,#銃撃戦#gun#アクション映画#movie #action  #actionmovies ザ・アウトロー。　中弛みもあるが、frb襲撃や銃撃戦は最高だ。 https://t.co/FFTkXLDEnR 
0,#Kittpber2021 #Squidgame #gun https://t.co/7XhLhO5ALQ 
0,https://t.co/QVjyUChaGj🔫@clarkarmory • CODE : FOXX•#guns #ammo #tattoo #bullet #gun #girls #2a #girlsandguns… https://t.co/r31P2B086n 
0,The #RustMovie tragedy was fully avoidable. One of the first things I learned in the #Marines is that a #gun IS alw… https://t.co/mGVzjjnpQv 
0,#firearm #gun #guns #firearms #pewpew #gunsdaily #pistol #ar #glock #gunsofinstagram #rifle #tactical #shooting… https://t.co/5CLbR7rtqy 
0,#Alec #Baldwin aimed prop #gun at camera during practice when #fatal Rust incident occurre - Oct 25 @ 10:21 AM ET https://t.co/aitHkqrB3H 
0,#Cincinnati #police city leaders launch neighborhood watch groups in response to #gun #vi - Oct 25 @ 10:20 AM ET https://t.co/v6VJ9cO9yF 
0,Always on me always #gun #GunsNRoses #45 #MiamiBeach https://t.co/RUl1CuQrZB 
0,Actor #AlecBaldwin was drawing a #gun across his body and pointing it at a camera on a film set when it fired lead… https://t.co/alyFZXKZrV 
0,Per @nytimes: #AlecBaldwin was rehearsing a scene that involved pointing a revolver toward the camera when the #gun… https://t.co/xTdKyO4YIj 
0,Lock up the gun criminal and political hack that is @AlecBaldwln____ Karma for the #gun crook! 
0,Multiple mistakes necessary for #gun accident on modern film set: expert https://t.co/SrgSEa1FW2 #GunSafety… https://t.co/5WgIJVatiJ 
0,Back 4 Blood - All Weapons Showcase https://t.co/nyQEHn4Gsn #Back4Blood #gun #weapon #firearm #nra #USCCA… https://t.co/wy6tjBi7KN 
0,@eddiedavis2707 Abysmal CEO nowhere to be seen #gun 
0,The movie #Rust has now been shut down after actor Alec Baldwin fired a prop #gun that killed #cinematographer and… https://t.co/Rvw04yLvNl 
