label,tweet
0,"['rustmovie', 'tragedy', 'fully', 'avoidable', 'one', 'first', 'thing', 'learn', 'marine', 'gun', 'alw']"
0,"['firearm', 'gun', 'gun', 'firearm', 'pewpew', 'gunsdaily', 'pistol', 'ar', 'glock', 'gunsofinstagram', 'rifle', 'tactical', 'shoot']"
0,"['alec', 'baldwin', 'aim', 'prop', 'gun', 'camera', 'practice', 'fatal', 'rust', 'incident', 'occurre', 'oct', '25', '10', '21', 'et']"
0,"['cincinnati', 'police', 'city', 'leader', 'launch', 'neighborhood', 'watch', 'group', 'response', 'gun', 'vi', 'oct', '25', '10', '20', 'et']"
0,"['always', 'always', 'gun', 'gunsnroses', '45', 'miamibeach']"
0,"['actor', 'alecbaldwin', 'draw', 'gun', 'across', 'body', 'point', 'camera', 'film', 'set', 'fire', 'lead']"
0,"['per', 'nytimes', 'alecbaldwin', 'rehearse', 'scene', 'involve', 'point', 'revolver', 'toward', 'camera', 'gun']"
0,"['lock', 'gun', 'criminal', 'political', 'hack', 'alecbaldwln', 'karma', 'gun', 'crook']"
0,"['multiple', 'mistake', 'necessary', 'gun', 'accident', 'modern', 'film', 'set', 'expert']"
0,"['back', '4', 'blood', 'weapon', 'showcase']"
0,"['eddiedavis2707', 'abysmal', 'ceo', 'nowhere', 'see', 'gun']"
0,"['movie', 'rust', 'shut', 'actor', 'alec', 'baldwin', 'fire', 'prop', 'gun', 'kill', 'cinematographer', 'and']"
0,"['brianlaundrie', 'laundry', 'comment', 'gun', 'found', 'fortdesota', 'florida', 'campground']"
0,"['ok', 'guy', 'task', '1', 'resin', 'ntf', 'project', 'do', 'ntf', 'opensea', 'artwork', 'art', 'gun']"
0,"['cinematographer', 'halynahutchins', 'kill', 'gun', 'womencinematographers', 'historically', 'kept', 'genre', 'fil']"
0,"['worry', 'producer', 'alecbaldwin', 'much', 'money', 'actually', 'face', 'consequence', 'point', 'gun', 'amp', 'pull']"
0,"['hochul', 'extend', 'gun', 'violence', 'state', 'emergency', 'one', 'month', 'oct', '25', '7', '14', 'et']"
0,"['ammo', 'giveaway', 'want', 'miss', 'this', 'freeammo', 'ammo', 'gun', '2a']"
0,"['newsupdate', 'alecbaldwin', 'practice', 'gun', 'go', 'warrant', 'say', 'pakustv', 'nyc']"
0,"['squid', 'game', 'everywhere', 'gun']"
0,"['god', 's', 'sake', 'alecbaldwin', 'alecbaldwin', 'know', 'never', 'ever', 'point', 'gun', 'any']"
0,"['come', '7news', 'dcnews', 'dmv', 'dc', 'md', 'va', 'rain', 'tornado', 'gun', 'prop', 'shoot', 'jan6riot']"
0,"['gun', 'movie', 'action', 'actionmovies', 'frb']"
0,"['kittpber2021', 'squidgame', 'gun']"
0,"['nazi', 'kill','black','need','to','die']"
0,"['black','shit']"
0,"['son','bitch']"

