label,tweet
0,"['fall', 'housing', 'boil', 'hot', 'finance', 'money', 'business', 'crypto', 'bigtech', 'iot', 'china', 'blockchain']"
0,"['crypto', 'banking', 'shape', 'finance', 'money', 'business', 'crypto', 'bigtech', 'iot', 'china', 'blockchain', 'hongkong']"
0,"['solana', 'defi', 'meanfi', 'blockchain', 'dao', 'money', 'first', 'thing', 'wake', 'take', 'part', 'project', 'i']"
0,"['miguelvegaturf', 'weird', 'sod', 'midwest', 'august', 'usually', 'money']"
0,"['cryptocurrency', 'bitcoin', 'woj', 'finance', 'wojtoken', 'crypto', 'blockchain', 'btc', 'money']"
0,"['think', 'know', 'blockchain', 'learn', 'event', 'finance', 'money', 'business', 'crypto', 'bigtech', 'iot', 'china']"
0,"['cryptocurrency', 'bitcoin', 'wojfinance', 'wojtoken', 'crypto', 'blockchain', 'btc', 'money']"
0,"['mondaythoughts', 'gospel', 'money', 'jesus', 'dailydevotional', 'love']"
0,"['cryptocurrency', 'bitcoin', 'woj', 'finance', 'wojtoken', 'crypto', 'blockchain', 'btc', 'money']"
0,"['sex', 'money', 'two', 'great', 'taboo', 'topic', 'maybe', 'money', 'even', 'nowadays']"
0,"['cryptocurrency', 'bitcoin', 'woj', 'finance', 'wojtoken', 'crypto', 'blockchain', 'btc', 'money']"
0,"['defi', 'nft', 'money', 'cryptocurrency', 'ecommerce', 'history', 'money', 'barter', 'bitcoin', 'part', 'four']"
0,"['use', 'app', 'effective', 'way', 'manage', 'money', 'personalfinances']"
0,"['money', 'ain', 't', 'free', 'paypal', 'cashapp', 'money', 'cashappinwild', 'lmao', 'mrricemusic', 'let', 's', 'get', 'rice', 'million', 'dollar']"
0,"['strong', 'today', '1000', 'crypto', 'bitcoin', 'cryptocurrency', 'blockchain', 'btc', 'ethereum', 'forex', 'money', 'trading']"
0,"['investment', 'cryptocurrency', 'ethereum', 'money', 'bitcoin', 'bpn', 'token', 'best', 'time', 'invest']"
